Year,BAU,IGCEP,EE,CT + RR + EE,EV,Elec,Combined,Combined + SWM + TBTTP & BTAP
2010,165.826,165.826,165.826,165.826,165.826,165.826,165.826,165.826
2011,164.051,164.051,164.051,164.051,164.051,164.051,164.051,164.051
2012,165.131,165.131,165.131,165.131,165.131,165.131,165.131,165.131
2013,169.536,169.536,169.536,169.536,169.536,169.536,169.536,169.536
2014,177.123,177.123,177.123,177.123,177.123,177.123,177.123,177.123
2015,186.283,186.283,186.283,186.283,186.283,186.283,186.283,186.283
2016,200.105,200.105,200.105,200.105,200.105,200.105,200.105,200.105
2017,221.941,221.941,221.941,221.941,221.941,221.941,221.941,221.941
2018,246.382,246.382,246.382,246.382,246.382,246.382,246.382,246.382
2019,253.735,253.735,253.735,253.735,253.735,253.735,253.735,253.735
2020,233.184,233.184,233.184,233.184,233.184,233.184,233.184,233.184
2021,260.822,260.822,260.822,260.822,260.822,260.822,260.822,235.822
2022,293.498,284.602,284.602,284.602,284.587,285.273,285.316,259.9402
2023,310.493,297.311,297.311,297.311,297.265,298.368,298.365,270.7903
2024,322.605,306.883,306.883,306.883,306.728,307.55,307.186,277.4124
2025,336.563,314.524,313.407,311.885,314.407,314.358,310.599,278.6265
2026,350.116,318.324,316.037,313.337,318.164,316.39,311.615,277.4436
2027,364.722,326.308,322.762,318.795,326.092,322.698,314.211,277.8407
2028,380.615,331.12,329.307,323.801,330.73,325.651,317.218,278.6488
2029,397.971,335.749,329.661,322.14,335.346,326.367,315.672,274.9039
2030,416.901,347.017,341.471,332.009,346.487,338.277,322.449,279.482
2031,432.704,351.072,347.47,334.525,350.116,329.177,312.588,267.4221
2032,449.713,357.496,352.819,337.428,356.468,332.272,312.769,265.4042
2033,467.966,365.567,357.747,342.718,364.485,336.188,315.686,266.1223
2034,487.417,373.871,365.838,348.325,372.693,341.633,318.53,266.7674
2035,507.955,383.009,373.818,354.868,381.747,345.305,322.344,268.3825
2036,525.322,390.559,380.673,359.838,389.21,347.022,324.999,268.8386
2037,543.55,399.128,388.906,366.525,397.699,350.527,326.42,268.0607
2038,562.661,408.547,398.429,374.025,407.032,355.121,328.461,267.9028
2039,582.877,418.781,408.588,382.058,417.103,360.147,331.686,268.9289
2040,604.29,429.665,419.179,390.516,427.91,365.513,335.839,270.883
2041,626.891,441.155,430.352,399.477,439.324,371.311,340.639,273.4841
2042,650.795,453.34,442.211,407.676,451.432,377.599,345.954,276.6002
2043,676.06,466.109,454.648,417.196,464.129,384.239,351.567,280.0143
2044,702.796,479.561,467.746,427.818,477.513,391.06,357.528,283.7764
2045,730.962,493.598,481.44,439.21,491.48,398.048,363.595,287.6445
2046,760.544,508.112,495.613,451,505.92,405.084,369.652,291.5026
2047,791.633,523.133,510.327,463.346,520.872,412.116,375.709,295.3607
2048,824.093,538.574,525.44,475.757,536.248,419.211,381.521,298.9738
2049,857.958,554.427,540.963,488.316,552.04,425.989,387.074,302.3279
2050,893.098,570.569,557.12,501.188,568.114,432.225,392.643,305.698
