Country,Data source,Sector,Gas,Unit,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Pakistan,CAIT,Total including LUCF,All GHG,MtCO₂e,438.22,421.6,396.4,371.24,356.49,342.88,332.43,328.63,321.54,327.27,316.9,313.94,297.16,277.77,269.49,252.54,244.71,238.3,236.06,233.94,221.37,217.56,210.65,203.61,193.14,186.47,176.65,167.45,166.5
Pakistan,CAIT,Total excluding LUCF,All GHG,MtCO₂e,431.22,414.6,389.4,365.78,351.04,337.42,326.97,323.17,314.47,320.2,309.84,306.86,290.1,270.7,262.42,245.48,237.64,231.23,228.01,225.89,213.32,209.52,202.6,195.56,185.09,178.42,168.6,159.4,158.45
Pakistan,CAIT,Energy,All GHG,MtCO₂e,210.75,200.09,182.96,167.4,157.78,149.34,148.31,146.33,144.61,148.8,145.11,150.69,138.39,128.58,125.87,113.21,110.18,107.23,105.77,105.85,97.13,95.82,91.95,88.57,82.02,79.17,72.31,65.44,66.04
Pakistan,CAIT,Agriculture,All GHG,MtCO₂e,186.22,182.02,175.71,170.83,167.05,163.04,154.98,154.33,147.68,149.65,143.01,136.7,134.46,126.62,122.03,118.75,114.94,111.68,110.57,108.77,105.48,103.22,100.49,97.24,93.66,91.81,89.23,87.06,85.77
Pakistan,CAIT,Electricity/Heat,All GHG,MtCO₂e,59.76,55.9,49.37,45.14,44.94,44.54,41.47,40.18,41.35,45.42,43.23,43.38,42.51,37.42,35.83,31.63,35.26,35.4,34.45,32.98,28.41,29.55,27.4,26.63,23.43,22.49,20.29,17.69,16.02
Pakistan,CAIT,Transportation,All GHG,MtCO₂e,56.98,53.84,49.13,44.07,39.06,36.59,35.76,34.95,33.36,32.69,32.17,33.21,27.59,27.2,29.26,27.13,25.87,25.53,25.6,25.89,24.56,23.35,22.79,20.24,19.47,18.42,16.11,14.3,13.79
Pakistan,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,55.66,52.6,46.47,41.38,37.9,33.3,35.38,37.78,38.13,39.79,39.34,44.51,40.21,36.96,34.59,29.63,24.77,22.37,22.16,22.62,22.07,21.31,21.48,22.03,20.47,20.54,18.81,16.05,16.67
Pakistan,CAIT,Industrial Processes,All GHG,MtCO₂e,25.03,23.43,21.82,18.8,17.62,16.6,15.4,14.4,14.21,13.94,14.06,11.98,9.9,8.31,7.44,6.57,5.68,5.6,5.06,4.8,4.37,4.26,4.07,3.8,3.59,3.66,3.42,3.39,3.26
Pakistan,CAIT,Building,All GHG,MtCO₂e,20.82,20.26,20.31,19.27,18.92,18.28,19.35,17.57,16.12,15.57,15.38,14.87,13.76,12.99,12.57,11.46,11.34,11.36,11.34,12.44,10.71,10.67,9.68,9.47,8.58,7.98,7.61,8.25,8.56
Pakistan,CAIT,Fugitive Emissions,All GHG,MtCO₂e,13.64,13.66,13.71,13.73,13.51,13.31,13.11,12.75,12.55,12.25,11.95,11.65,11.35,11.05,10.54,10.02,9.51,8.99,8.48,8.21,7.94,7.67,7.4,7.13,6.92,6.7,6.49,6.28,8.09
Pakistan,CAIT,Waste,All GHG,MtCO₂e,9.23,9.07,8.91,8.75,8.59,8.43,8.28,8.12,7.96,7.81,7.65,7.5,7.34,7.19,7.07,6.95,6.84,6.72,6.6,6.47,6.34,6.21,6.08,5.95,5.81,3.78,3.64,3.51,3.38
Pakistan,CAIT,Land-Use Change and Forestry,All GHG,MtCO₂e,7.0,7.0,7.0,5.45,5.45,5.45,5.46,5.45,7.07,7.07,7.07,7.08,7.07,7.07,7.07,7.07,7.07,7.07,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05
Pakistan,CAIT,Other Fuel Combustion,All GHG,MtCO₂e,3.88,3.82,3.97,3.82,3.44,3.32,3.24,3.09,3.1,3.08,3.03,3.07,2.97,2.96,3.09,3.33,3.44,3.58,3.74,3.72,3.43,3.28,3.21,3.07,3.15,3.04,2.98,2.89,2.92
Pakistan,CAIT,Bunker Fuels,All GHG,MtCO₂e,2.76,2.61,2.52,2.36,2.26,2.56,2.43,2.53,2.84,2.94,2.61,2.39,2.69,2.72,2.54,2.12,2.39,2.06,2.06,2.13,2.07,1.63,1.61,1.77,1.77,1.81,1.71,1.62,1.52
